Date,Open,High,Low,Close,Adj Close,Volume
2010-02-01,1796.670044,1838.410034,1723.459961,1826.270020,1826.270020,0
2010-03-01,1826.270020,1954.530029,1826.270020,1936.479980,1936.479980,0
2010-04-01,1938.079956,2021.410034,1938.079956,1967.050049,1967.050049,0
2010-05-01,1967.510010,1997.660034,1727.900024,1809.979980,1809.979980,0
2010-06-01,1810.010010,1881.420044,1711.180054,1715.229980,1715.229980,0
2010-07-01,1715.229980,1867.280029,1682.209961,1835.400024,1835.400024,0
2010-08-01,1837.689941,1882.439941,1735.569946,1752.550049,1752.550049,0
2010-09-01,1754.859985,1935.219971,1754.859985,1908.949951,1908.949951,0
2010-10-01,1911.099976,2002.579956,1893.189941,1981.589966,1981.589966,0
2010-11-01,1983.550049,2055.750000,1966.819946,1981.839966,1981.839966,0
2010-12-01,1986.349976,2122.189941,1986.349976,2114.290039,2114.290039,0
2011-01-01,2115.969971,2192.139893,2115.969971,2164.399902,2164.399902,0
2011-02-01,2165.770020,2265.629883,2165.770020,2238.550049,2238.550049,0
2011-03-01,2239.120117,2249.169922,2121.939941,2239.439941,2239.439941,0
2011-04-01,2239.449951,2307.320068,2188.469971,2305.760010,2305.760010,0
2011-05-01,2305.760010,2317.550049,2221.909912,2279.659912,2279.659912,0
2011-06-01,2279.659912,2279.659912,2133.969971,2241.659912,2241.659912,0
2011-07-01,2241.659912,2303.729980,2180.070068,2196.080078,2196.080078,0
2011-08-01,2196.600098,2221.739990,1901.050049,2076.780029,2076.780029,0
2011-09-01,2077.159912,2094.489990,1900.569946,1930.790039,1930.790039,0
2011-10-01,1930.430054,2208.879883,1834.209961,2141.810059,2141.810059,0
2011-11-01,2137.879883,2184.080078,1984.180054,2137.080078,2137.080078,0
2011-12-01,2137.080078,2178.429932,2062.530029,2158.939941,2158.939941,0
2012-01-01,2158.929932,2291.580078,2158.929932,2255.689941,2255.689941,0
2012-02-01,2255.760010,2374.110107,2255.760010,2353.229980,2353.229980,0
2012-03-01,2353.229980,2448.159912,2309.510010,2430.669922,2430.669922,0
2012-04-01,2430.679932,2454.629883,2344.159912,2415.419922,2415.419922,0
2012-05-01,2415.409912,2445.479980,2236.729980,2270.250000,2270.250000,0
2012-06-01,2270.250000,2364.469971,2194.889893,2363.790039,2363.790039,0
2012-07-01,2364.090088,2418.090088,2301.929932,2396.620117,2396.620117,0
2012-08-01,2396.610107,2483.870117,2354.129883,2450.600098,2450.600098,0
2012-09-01,2450.540039,2571.340088,2433.290039,2513.929932,2513.929932,0
2012-10-01,2514.320068,2567.679932,2451.699951,2467.510010,2467.510010,0
2012-11-01,2467.510010,2506.340088,2351.850098,2481.820068,2481.820068,0
2012-12-01,2481.820068,2540.689941,2450.780029,2504.439941,2504.439941,0
2013-01-01,2504.449951,2654.120117,2504.449951,2634.159912,2634.159912,0
2013-02-01,2634.159912,2696.260010,2616.669922,2669.919922,2669.919922,0
2013-03-01,2669.919922,2771.929932,2646.729980,2770.050049,2770.050049,0
2013-04-01,2770.060059,2823.419922,2714.229980,2823.419922,2823.419922,0
2013-05-01,2823.429932,2987.600098,2794.639893,2889.459961,2889.459961,0
2013-06-01,2891.179932,2933.989990,2768.159912,2850.659912,2850.659912,0
2013-07-01,2856.879883,3018.260010,2848.610107,2995.719971,2995.719971,0
2013-08-01,3002.580078,3038.629883,2898.570068,2908.959961,2908.959961,0
2013-09-01,2914.419922,3085.020020,2909.899902,3000.179932,3000.179932,0
2013-10-01,3001.919922,3171.199951,2939.669922,3138.090088,3138.090088,0
2013-11-01,3141.949951,3247.560059,3122.469971,3233.719971,3233.719971,0
2013-12-01,3235.179932,3317.239990,3169.129883,3315.590088,3315.590088,0
2014-01-01,3311.580078,3321.889893,3179.250000,3200.949951,3200.949951,0
2014-02-01,3201.120117,3362.620117,3121.850098,3347.379883,3347.379883,0
2014-03-01,3344.360107,3395.000000,3302.570068,3375.510010,3375.510010,0
2014-04-01,3378.659912,3421.229980,3273.739990,3400.459961,3400.459961,0
2014-05-01,3401.479980,3481.100098,3358.879883,3480.290039,3480.290039,0
2014-06-01,3481.149902,3565.479980,3466.989990,3552.179932,3552.179932,0
2014-07-01,3556.560059,3612.270020,3503.189941,3503.189941,3503.189941,0
2014-08-01,3501.610107,3644.830078,3458.439941,3643.330078,3643.330078,0
2014-09-01,3644.770020,3676.159912,3577.030029,3592.250000,3592.250000,0
2014-10-01,3591.020020,3680.219971,3319.830078,3679.989990,3679.989990,0
2014-11-01,3680.310059,3792.149902,3648.969971,3778.959961,3778.959961,0
2014-12-01,3775.870117,3832.370117,3608.739990,3769.439941,3769.439941,0
2015-01-01,3776.489990,3794.520020,3642.500000,3656.280029,3656.280029,0
2015-02-01,3659.449951,3893.439941,3630.699951,3866.419922,3866.419922,0
2015-03-01,3867.979980,3890.520020,3750.290039,3805.270020,3805.270020,0
2015-04-01,3805.270020,3915.370117,3769.879883,3841.780029,3841.780029,0
2015-05-01,3845.229980,3939.459961,3811.270020,3891.179932,3891.179932,0
2015-06-01,3893.879883,3937.370117,3803.310059,3815.850098,3815.850098,0
2015-07-01,3823.979980,3947.729980,3781.629883,3895.800049,3895.800049,0
2015-08-01,3897.010010,3913.729980,3464.030029,3660.750000,3660.750000,0
2015-09-01,3657.040039,3755.469971,3480.540039,3570.169922,3570.169922,0
2015-10-01,3569.719971,3899.129883,3522.149902,3871.330078,3871.330078,0
2015-11-01,3873.939941,3940.510010,3765.580078,3882.840088,3882.840088,0
2015-12-01,3887.860107,3928.489990,3723.719971,3821.600098,3821.600098,0
2016-01-01,3811.739990,3811.739990,3391.770020,3631.959961,3631.959961,0
2016-02-01,3625.889893,3684.389893,3393.429932,3627.060059,3627.060059,0
2016-03-01,3636.250000,3896.500000,3636.250000,3873.110107,3873.110107,0
2016-04-01,3867.280029,3973.530029,3826.770020,3888.129883,3888.129883,0
2016-05-01,3891.679932,3970.229980,3821.530029,3957.949951,3957.949951,0
2016-06-01,3952.929932,4004.689941,3764.350098,3968.209961,3968.209961,0
2016-07-01,3969.850098,4121.109863,3923.649902,4114.509766,4114.509766,0
2016-08-01,4113.660156,4160.490234,4065.379883,4120.290039,4120.290039,0
2016-09-01,4121.060059,4153.660156,4023.889893,4121.060059,4121.060059,0
2016-10-01,4114.089844,4126.359863,4022.620117,4045.889893,4045.889893,0
2016-11-01,4050.739990,4224.899902,3967.379883,4195.729980,4195.729980,0
2016-12-01,4198.490234,4348.890137,4174.220215,4278.660156,4278.660156,0
2017-01-01,4303.120117,4401.569824,4290.850098,4359.810059,4359.810059,0
2017-02-01,4373.649902,4547.919922,4347.689941,4532.930176,4532.930176,0
2017-03-01,4565.379883,4605.270020,4459.500000,4538.209961,4538.209961,0
2017-04-01,4537.709961,4611.160156,4477.060059,4584.819824,4584.819824,0
2017-05-01,4593.109863,4660.459961,4532.450195,4649.339844,4649.339844,0
2017-06-01,4657.330078,4735.109863,4644.069824,4678.359863,4678.359863,0
2017-07-01,4694.189941,4759.549805,4651.209961,4751.330078,4751.330078,0
2017-07-17,4752.020020,4758.419922,4747.560059,4751.330078,4751.330078,0
